Key,Value,Context
A game by,Un joc creat de,
Anda Huzau,Anda Huzau,
Andrews Magnoni,Andrews Magnoni,
Arto Österman,Arto Österman,
Awesome!,Super tare!,
Conditions can also be greater than or less than,Conditiile pot fi si 'mai mare decat' sau 'mai mic decat',
Daniel Pellicer García,Daniel Pellicer García,
David Saltares Márquez,David Saltares Márquez,
Have your go at division,Vezi cum te descurci la impartire ,
Irene Saltares Márquez,Irene Saltares Márquez,
Konrad Kierys,Konrad Kierys,
Level %d,Nivelul %d,
Level completed!,Nivel complet!,
Localisation,Localizare,
Meet multiplications!,Acum,
Order when combining multiplication and addition matters,Cand combini adunarea cu inmultirea,
Original Soundtrack,Coloana Sonora,
Paused,Pauza,
Pick a level,Alege un nivel,
Powered by,Sustinut de,
Ross Tregenza,Ross Tregenza,
SFX,SFX,
Samuel Föger,Samuel Föger,
Send mail...,Send mail...,
Sergi Juárez Carceller,Sergi Juárez Carceller,
Sometimes you have to combine operations,Cateodata trebuie sa combini operatiile,
Tap or swipe to move to the star,Apasa sau treci cu degetele ca sa ajungi la stea,
The % operation gives the remainder of the division,The % operation gives the remainder of the division,
Time,Timp,
Use operations to go through condition blocks,Foloseste operatii ca sa treci prin blocurile conditionate,
We also have less than conditions,"Avem si conditii precum ""mai mic decat""",
Well done!,Bravo!,
Why not try subtractions this time?,Ce ar fi sa incerci scaderi de data asta?,
You can use blue operations more than once,Operatiile in albastru se pot folosi de mai multe ori,
You can use operation blocks,Poti sa folosesti blocuri de operare,
You can't go past 99 points,Rezultatul nu poate fi mai mare decat 99,
You're a star!,Esti un star!,
